Latein;Deutsch;Merkhilfe 
senātor;Senator;
forum;Marktplatz, Forum, Öffentlichkeit;Forum, e. forum
properāre, properat;eilen, sich beeilen;
nam;denn, nämlich;
ibī;dort;
cūria;Kurie, Rathaus;
esse, est;sein, sich befinden;Essenz, essenziell
hīc;hier;
turba;Menschenmenge, Lärm;Trubel, Turbine, turbulent, e. trouble
stāre, stat;stehen;e. to stay
et;und, auch;f. et
clāmāre, clāmat;laut rufen, schreien;Re-klame, re-klamieren
avē!;sei gegrüßt!;
gaudēre, gaudet;sich freuen;
salvē!;sei gegrüßt!;
salvēte!;seid gegrüßt!;
subitō;plötzlich;
servus;Sklave;„Servus“
venīre, venit;kommen;f. venir
rogāre, rogat;bitten, erbitten, fragen;
ubī?;wo?;f. où
rīdēre, rīdet;lachen, auslachen;f. rire
adesse, adest;da sein;
tum;da, damals, darauf, dann;
hodiē Adv.;heute;
circus;Zirkus, Rennbahn;
lūdus;"Spiel, Wettkampf; Schule";
sunt;sie sind;f. sont
sed;aber, sondern;
amīcus;Freund;f. ami
diū Adv.;lange Zeit;
exspectāre, exspectat;warten, erwarten;e. to expect
tandem;endlich;
populus;Volk;Pöbel, Population, e. population
accēdere, accēdit;herbeikommen, hinzukommen;e. access
etiam;auch, sogar;
nunc Adv.;jetzt, nun;e. now
tacēre, tacet;schweigen;
porta;Tor;Pforte, Portal
patēre, patet;offen stehen, sich erstrecken;Patent
equus;Pferd;
dēnique Adv.;schließlich, zuletzt;
signum;Merkmal, Zeichen;Signal, Signatur
dare, dat;geben;Datum, Daten, Dativ
currere, currit;eilen, laufen;Kurier, Curriculum
surgere, surgit;aufstehen, sich erheben;
vocāre, vocat;rufen, nennen;Vokal, Vokativ
victor m;Sieger;Viktor, e. victor
ecce;schau! / schaut!/sieh da!/seht da!;
praemium;Belohnung, Lohn, (Sieges-)Preis;Prämie, e. premium
Aulus;Aulus;mänlicher Eigenname
Gāius;Gajus;mänlicher Eigenname
Syrus;Syrus;mänlicher Eigenname
Circus Maximus;der Circus Maximus;Pferderennbahn in Rom
ad Präp. m. Akk.;an, bei, nach, zu;e. at
per Präp. m. Akk.;durch, hindurch;
amīca;Freundin;f. amie
vidēre, videt;"sehen; darauf achten";Video, wissen, e. view
petere, petit;(auf)suchen, (er)streben, bitten, verlangen, angreifen;Petition
templum;Tempel;e. temple
aedificium;Gebäude;f. édifice
spectāre, spectat;betrachten, hinsehen;
basilica;Basilika, Halle;
intrāre, intrat;betreten, eintreten;entern, e. to enter
mercātor, mercātōrem m;Kaufmann, Händler;
contendere, contendit;"eilen; sich anstrengen";
bēstia;Tier;f. bête
vendere, vendit;verkaufen;
ante Präp. m. Akk.;vor;
taberna;Laden, Werkstatt, Gasthaus;Taverne
statim Adv.;auf der Stelle, sofort;
in Präp. m. Akk.;in (... hinein), nach(... hin), gegen (wohin?);e. in
dēlectāre, dēlectat;erfreuen, unterhalten;
mulier, mulierem f;Frau;
audīre, audiō;hören;Audienz, Auditorium, „Audi“
clāmor, clāmōrem m;Geschrei, Lärm;Klamauk
tollere, tollit;aufheben, wegnehmen, in die höhe heben;
clāmōrem tollere;Geschrei erheben;
quid?;was? ;
quis?;wer?;
itaque Adv.;deshalb;
relinquere, relinquit;verlassen, zurücklassen, unbeachtet  lassen;Relikt, e. to relinquish
cūr?;warum?;
autem;aber, andererseits;
apud Präp. m. Akk.;bei, nahe bei;
nōn;nicht ;e. no
iam Adv.;schon, nun;
nōn iam Adv.;nicht mehr;
Atia;Atia;weiblicher Eigenname
Antōnia;Antonia;weiblicher Eigenname
Rutīlius;Rutilius;männlicher Eigenname
basilica Iūlia;Basilika Julia;Halle, die von der Familie der julier erbaut wurde
in Präp. m. Abl.;in, an, auf, bei (wo?);e. in, f. en
cum Präp. m. Abl.;mit, zusammen mit;
gaudēre, gaudet m. Abl.;(sich freuen),sich freuen über etw.;
thermae, thermās f Pl.;Thermen, Badeanlage;
vestis, vestem f;Kleid, Kleidung;Weste
dēpōnere, dēpōnit;ablegen, niederlegen, aufgeben;deponieren, Depot
dē Präp. m. Abl.;"von, von ... her, von ... herab; über";
cōgitāre, cōgitat;denken, beabsichtigen;
