Latein;Deutsch
senātor;Senator
forum;Marktplatz, Forum, Öffentlichkeit
properāre, properat;eilen, sich beeilen
nam;denn, nämlich
ibī;dort
cūria;Kurie, Rathaus
esse, est;sein, sich befinden
hīc;hier
turba;Menschenmenge, Lärm
stāre, stat;stehen
et;und, auch
clāmāre, clāmat;laut rufen, schreien
avē!;sei gegrüßt!
gaudēre, gaudet;sich freuen
salvē!;sei gegrüßt!
salvēte!;seid gegrüßt!
subitō;plötzlich
servus;Sklave
venīre, venit;kommen
rogāre, rogat;bitten, erbitten, fragen
ubī?;wo?
rīdēre, rīdet;lachen, auslachen
adesse, adest;da sein
tum;da, damals, darauf, dann
hodiē Adv.;heute
circus;Zirkus, Rennbahn
lūdus;Spiel, Wettkampf; Schule
sunt;sie sind
sed;aber, sondern
amīcus;Freund
diū Adv.;lange Zeit
exspectāre, exspectat;warten, erwarten
tandem;endlich
populus;Volk
accēdere, accēdit;herbeikommen, hinzukommen
etiam;auch, sogar
nunc Adv.;jetzt, nun
tacēre, tacet;schweigen
porta;Tor
patēre, patet;offen stehen, sich erstrecken
equus;Pferd
dēnique Adv.;schließlich, zuletzt
signum;Merkmal, Zeichen
dare, dat;geben
currere, currit;eilen, laufen
surgere, surgit;aufstehen, sich erheben
vocāre, vocat;rufen, nennen
victor m;Sieger
ecce;schau! / schaut!/sieh da!/seht da!
praemium;Belohnung, Lohn, (Sieges-)Preis
Aulus;Aulus
Gāius;Gajus
Syrus;Syrus
Circus Maximus;der Circus Maximus
ad Präp. m. Akk.;an, bei, nach, zu
per Präp. m. Akk.;durch, hindurch
amīca;Freundin
vidēre, videt;sehen; darauf achten
petere, petit;(auf)suchen, (er)streben, bitten, verlangen, angreifen
templum;Tempel
aedificium;Gebäude
spectāre, spectat;betrachten, hinsehen
basilica;Basilika, Halle
intrāre, intrat;betreten, eintreten
mercātor, mercātōrem m;Kaufmann, Händler
contendere, contendit;eilen; sich anstrengen
bēstia;Tier
vendere, vendit;verkaufen
ante Präp. m. Akk.;vor
taberna;Laden, Werkstatt, Gasthaus
statim Adv.;auf der Stelle, sofort
in Präp. m. Akk.;in (... hinein), nach(... hin), gegen (wohin?)
dēlectāre, dēlectat;erfreuen, unterhalten
mulier, mulierem f;Frau
audīre, audiō;hören
clāmor, clāmōrem m;Geschrei, Lärm
tollere, tollit;aufheben, wegnehmen, in die höhe heben
clāmōrem tollere;Geschrei erheben
quid?;was? 
quis?;wer?
itaque Adv.;deshalb
relinquere, relinquit;verlassen, zurücklassen, unbeachtet  lassen
cūr?;warum?
autem;aber, andererseits
apud Präp. m. Akk.;bei, nahe bei
nōn;nicht 
iam Adv.;schon, nun
nōn iam Adv.;nicht mehr
Atia;Atia
Antōnia;Antonia
Rutīlius;Rutilius
basilica Iūlia;Basilika Julia
in Präp. m. Abl.;in, an, auf, bei (wo?)
cum Präp. m. Abl.;mit, zusammen mit
gaudēre, gaudet m. Abl.;(sich freuen),sich freuen über etw.
thermae, thermās f Pl.;Thermen, Badeanlage
vestis, vestem f;Kleid, Kleidung
dēpōnere, dēpōnit;ablegen, niederlegen, aufgeben
dē Präp. m. Abl.;von, von ... her, von ... herab; über
cōgitāre, cōgitat;denken, beabsichtigen
cōgitāre dē;denken an
amāre, amat;lieben, gernhaben
semper Adv.;immer
dōnum;Geschenk
vult;er (sie, es) will
tamen;dennoch, jedoch
laudāre, laudat;loben
tē Akk.;dich
certē Adv.;gewiss, sicherlich
scīre, scit;kennen, wissen, verstehen
puella;Mädchen
complēre, complet;anfüllen, erfüllen
senex, senem m;Greis, alter Mann
iniūria;Unrecht, Beleidigung, Gewalttat
dolēre, dolet (m. Abl.);schmerzen; bedauern, Schmerzen empfinden (über etw.)
vīnum;Wein
sūmere, sūmit;nehmen
prō Präp. m. Abl.;anstelle von, für, vor
pecūnia;Geld, Vermögen
fūr, fūrem m;Dieb
tantum (nachgestellt);nur
numquam Adv.;niemals
uxor, uxōrem f;Ehefrau
adulēscēns, adulēsentem m;junger Mann
Lūcius;Lucius
Quīntus;Quintus
puer, puerum;Junge, Bub
mittere, mittō;(los)lassen, schicken, werfen
domina;Herrin
iubēre, iubeō m. Akk.;anordnen, befehlen
emere, emō;kaufen
serva;Sklavin
adesse, adsum;(da sein); helfen
dubitāre, dubitō m. Inf.;zögern
parāre, parō;bereiten, vorbereiten; vorhaben; erwerben
dēbēre, dēbeō;müssen, sollen; schulden
ōrnāre, ōrnō;schmücken
mēnsa;Tisch
labōrāre, labōrō;arbeiten
cēna;Essen, Mahlzeit
tū (betont);du
illūc Adv.;dahin, dorthin
bene Adv.;gut
quod Subj. m. Ind.;dass, weil
respondēre, respondeō;antworten, entsprechen
līberī, līberōs m Pl.;Kinder
māter, mātrem f;Mutter
ostendere, ostendō;zeigen, darlegen
placēre, placeō;gefallen
igitur Adv.;also, folglich
paulō Adv.;(um) ein wenig
post Adv.;dann, später
paulō post;kurz darauf
portāre, portō;tragen, bringen
Dāvus;Davus
 Āfra;Afra
Melissa;Melissa
Ancus;Ancus
velle, volō;wollen
circiter Adv.;ungefähr
vīgintī indekl.;zwanzig
vestis, vestis f (Gen. Pl. vest-ium);Kleid, Kleidung
sacrum;Opfer, Heiligtum
convīvium;Gastmahl, Gelage
prīmō Adv.;zuerst
toga;Toga (Kleidungsstück des römischen Mannes)
tunica;Tunika (Unterkleid unter der Toga)
verbum;Wort, Äußerung
pars, partis f (Gen. Pl. -ium);Richtung, Seite, Teil
cōpia;Menge, Vorrat, Möglichkeit
togam sūmere;die Toga anlegen
cōnsilium;Beratung, Beschluss, Plan, Rat
admittere, admittō;hinzuziehen, zulassen
fīlius;Sohn
attingere, attingō;berühren
probāre, probō;beweisen, für gut befinden
nōn-ne (im dir. Fragesatz);(etwa) nicht?
auxilium;Hilfe
gerere, gerō;ausführen, führen, tragen
fīlia;Tochter
-que;und
oculus;Auge
