Latein;Deutsch
subito;plötzlich
ubi?;wo?
tum;da, damals, darauf, dann
stare, stat;stehen
rogare, rogat;bitten, erbitten, fragen
hic;hier
et;und, auch
salve!;sei gegrüßt!
venire, venit;kommen
forum;Marktplatz, Forum, Öffentlichkeit
ridere, ridet;lachen, auslachen
servus;Sklave
salvete!;seid gegrüßt!
turba;Menschenmenge, Lärm
clamare, clamat;laut rufen, schreien
nam;denn, nämlich
gaudere, gaudet;sich freuen
ave!;sei gegrüßt!
ibi;dort
properare, properat;eilen, sich beeilen
curia;Kurie, Rathaus
adesse, adest;da sein
esse, est;sein, sich befinden
senator;Senator
sunt;sie sind
etiam;auch, sogar
nunc;jetzt, nun
exspectare, exspectat;warten, erwarten
accedere, accedit;herbeikommen, hinzukommen
tandem;endlich
ludus;Spiel, Wettkampf; Schule
diu;lange Zeit
ecce;schau!/schaut! sieh da!/seht da!
porta;Tor
tacere, tacet;schweigen
denique;schließlich, zuletzt
circus;Zirkus, Rennbahn
praemium;Belohnung, Lohn, (Sieges-)Preis
patere, patet;offen stehen, sich erstrecken
dare, dat;geben
amicus;Freund
hodie;heute
surgere, surgit;aufstehen, sich erheben
signum;Merkmal, Zeichen
currere, currit;eilen, laufen
sed;aber, sondern
vocare, vocat;rufen, nennen
equus;Pferd
populus;Volk
victor;Sieger
nōn iam;nicht mehr
per;durch, hindurch
petere, petit;(auf)suchen, (er)streben, bitten, verlangen
mulier, mulierem;Frau
clāmor, clāmōrem;Geschrei, Lärm
contendere, contendit;eilen; sich anstrengen
itaque;deshalb
relinquere, relinquit;unbeachtet lassen, verlassen, zurücklassen
vidēre, videt;sehen; darauf achten
iam;schon, nun
amica;Freundin
apud;bei, nahe bei
aedificium;Gebäude
ad;an, bei, nach, zu
statim;auf der Stelle, sofort
quis?;wer?
autem;aber, andererseits
in;in (... hinein), nach (... hin), gegen (wohin?)
cūr?;warum?
nōn;nicht
ante;vor
audīre, audit;hören
clāmōrem tollere;ein Geschrei erheben
taberna;Laden, Werkstatt, Gasthaus
spectāre, spectat;betrachten, hinsehen
delectāre, delectat;erfreuen, unterhalten
vendere, vendit;verkaufen
basilica;Basilika, Halle
templum;Tempel
intrāre, intrat;betreten, eintreten
tollere, tollit;aufheben, in die Höhe heben, wegnehmen
bēstia;Tier
mercātor, mercātōrem;Kaufmann, Händler
quid?;was?
thermae, thermās f Pl.;Thermen, Badeanlage
adulēscēns, adulēscentem m;junger Mann
tamen;dennoch, jedoch
vestis, vestem f;Kleid, Kleidung
tantum (nachgestellt);nur
complēre, complet;anfüllen, erfüllen
sūmere, sūmit;nehmen
dē (Präp. m. Abl.);von, von ... her, von ... herab; über
dōnum;Geschenk
laudāre, laudat;loben
fūr, fūrem m;Dieb
tē (Akk.);dich
inīūria;Unrecht, Beleidigung, Gewalttat
prō (Präp. m. Abl.);anstelle von, für, vor
uxor, uxōrem f;Ehefrau
scīre, scit;kennen, wissen, verstehen
dolēre, dolet (m. Abl.);schmerzen; bedauern; Schmerz empfinden (über etw.)
cōgitāre, cōgitat;denken, beabsichtigen
dēpōnere, dēpōnit;ablegen, niederlegen, aufgeben
numquam (Adv.);niemals
gaudēre, gaudet (m. Abl.);sich freuen, sich freuen über etw.
Quīntus;Quintus (männlicher Eigenname)
puella;Mädchen
cōgitāre dē (m. Abl.);denken an
pecūnia;Geld, Vermögen
Lūcius;Lucius (männlicher Eigenname)
certē (Adv.);gewiss, sicherlich
in (Präp. m. Abl.);in, an, auf, bei (wo)
senex, senem m;Greis, alter Mann
vīnum;Wein
cum (Präp. m. Abl.);mit, zusammen mit
vult;er (sie, es) will
amāre, amat;lieben, gernhaben
semper (Adv.);immer
Āfra;Afra (weiblicher Eigenname)
paulō (Adv.);(um) ein wenig
puer, puerum;Junge, Bub
mēnsa;Tisch
tū (betont);du
māter, mātrem (f);Mutter
ostendere, ostendō;zeigen, darlegen
līberī, līberōs (m Pl.);Kinder
emere, emō;kaufen
domina;Herrin
illūc (Adv.);dahin, dorthin
respondēre, respondeō;antworten, entsprechen
paulō post;kurz darauf
parāre, parō;bereiten, vorbereiten; vorhaben; erwerben
iubēre, iubeō (m. Akk.);anordnen, befehlen
adesse, adsum;da sein; helfen
igitur (Adv.);also, folglich
dubitāre, dubitō m. Inf.;zögern
mittere, mittō;(los)lassen, schicken, werfen
Dāvus;Davus (männlicher Eigenname)
laborāre, laborō;arbeiten
placēre, placeō;gefallen
dēbēre, dēbeō;müssen, sollen; schulden
cēna;Essen, Mahlzeit
Ancus;Ancus (männlicher Eigenname)
serva;Sklavin
quod (Subj. m. Ind.);dass, weil
post (Adv.);dann, später
Melissa;Melissa (weiblicher Eigenname)
portāre, portō;tragen, bringen
bene (Adv.);gut
ōrnāre, ōrnō;schmücken
oculus;Auge
auxilium;Hilfe
tunica;Tunika (Unterkleid unter der Toga)
compōnere, compōnō;vergleichen
fīlius;Sohn
nōn-ne (im dir. Fragesatz);(etwa) nicht?
convertere, convertō (in m. Akk.);verändern, (um)wenden, richten (auf)
prīmō;zuerst
admittere, admittō;hinzuziehen, zulassen
toga;Toga (Kleidungsstück des römischen Mannes)
velle, volō;wollen
vestis, vestis f (Gen. Pl. vestium);Kleid, Kleidung
gerere, gerō;ausführen, führen, tragen
amor, amōris m;Liebe
vīgintī;zwanzig
circiter;ungefähr
probāre, probō;beweisen, für gut befinden
fīlia;Tochter
sacrum;Opfer, Heiligtum
verbum;Wort, Äußerung
pars, partis f (Gen. Pl. -ium);Richtung, Seite, Teil
remanēre, remaneō;(zurück)bleiben
attingere, attingō;berühren
-que (als Wortendung);und
cōnsilium;Beratung, Beschluss, Plan, Rat
cōpia;Menge, Vorrat, Möglichkeit
tōgam sūmere;die Toga anlegen
convīvium;Gastmahl, Gelage
pater, patris m;Vater
nōlle, nōlō;nicht wollen
cibus;Nahrung, Speise
