Lektion 1;;;
c01-001;senātor;Senator;
c01-002;forum;Marktplatz, Forum, Öffentlichkeit;Forum, e. forum
c01-003;properāre, properat;eilen, sich beeilen;
c01-004;nam;denn, nämlich;
c01-005;ibī;dort;
c01-006;cūria;Kurie, Rathaus;
c01-007;esse, est;sein, sich befinden;Essenz, essenziell
c01-008;hīc;hier;
c01-009;turba;Menschenmenge, Lärm;Trubel, Turbine, turbulent, e. trouble
c01-010;stāre, stat;stehen;e. to stay
c01-011;et;und, auch;f. et
c01-012;clāmāre, clāmat;laut rufen, schreien;Re-klame, re-klamieren
c01-013;avē!;sei gegrüßt!;
c01-014;gaudēre, gaudet;sich freuen;
c01-015;salvē!;sei gegrüßt!;
c01-016;salvēte!;seid gegrüßt!;
c01-017;subitō;plötzlich;
c01-018;servus;Sklave;„Servus“
c01-019;venīre, venit;kommen;f. venir
c01-020;rogāre, rogat;bitten, erbitten, fragen;
c01-021;ubī?;wo?;f. où
c01-022;rīdēre, rīdet;lachen, auslachen;f. rire
c01-023;adesse, adest;da sein;
c01-024;tum;da, damals, darauf, dann;
Lektion 2;;;
c02-001;hodiē Adv.;heute;
c02-002;circus;Zirkus, Rennbahn;
c02-003;lūdus;"Spiel, Wettkampf; Schule";
c02-004;sunt;sie sind;f. sont
c02-005;sed;aber, sondern;
c02-006;amīcus;Freund;f. ami
c02-007;diū Adv.;lange Zeit;
c02-008;exspectāre, exspectat;warten, erwarten;e. to expect
c02-009;tandem;endlich;
c02-010;populus;Volk;Pöbel, Population, e. population
c02-011;accēdere, accēdit;herbeikommen, hinzukommen;e. access
c02-012;etiam;auch, sogar;
c02-013;nunc Adv.;jetzt, nun;e. now
c02-014;tacēre, tacet;schweigen;
c02-015;porta;Tor;Pforte, Portal
c02-016;patēre, patet;offen stehen, sich erstrecken;Patent
c02-017;equus;Pferd;
c02-018;dēnique Adv.;schließlich, zuletzt;
c02-019;signum;Merkmal, Zeichen;Signal, Signatur
c02-020;dare, dat;geben;Datum, Daten, Dativ
c02-021;currere, currit;eilen, laufen;Kurier, Curriculum
c02-022;surgere, surgit;aufstehen, sich erheben;
c02-023;vocāre, vocat;rufen, nennen;Vokal, Vokativ
c02-024;victor m;Sieger;Viktor, e. victor
c02-025;ecce;schau! / schaut!/sieh da!/seht da!;
c02-026;praemium;Belohnung, Lohn, (Sieges-)Preis;Prämie, e. premium
c02-027;Aulus;Aulus;mänlicher Eigenname
c02-028;Gāius;Gajus;mänlicher Eigenname
c02-029;Syrus;Syrus;mänlicher Eigenname
c02-030;Circus Maximus;der Circus Maximus;Pferderennbahn in Rom
Lektion 3;;;
c03-001;ad Präp. m. Akk.;an, bei, nach, zu;e. at
c03-002;per Präp. m. Akk.;durch, hindurch;
c03-003;amīca;Freundin;f. amie
